Date;0.0.2.1.1.1.12.0.0.0.0.0.0.0.0.0.72.0;0.0.2.1.19.1.12.0.0.0.0.0.0.0.0.0.72.0
000-00:00;3611583;260321
000-00:15;3611608;260346
000-00:30;3611638;260376
000-00:45;3611670;260408
000-01:00;3611693;260431
000-01:15;3611705;260443
000-01:30;3611719;260457
000-01:45;3611741;260479
000-02:00;3611756;260494
000-02:15;3611789;260527
000-02:30;3611820;260558
000-02:45;3611840;260578
000-03:00;3611853;260591
000-03:15;3611876;260614
000-03:30;3611888;260626
000-03:45;3611909;260647
000-04:00;3611941;260679
000-04:15;3611972;260710
000-04:30;3611984;260722
000-04:45;3612007;260745
000-05:00;3612020;260758
000-05:15;3612034;260772
000-05:30;3612061;260799
000-05:45;3612093;260831
000-06:00;3612124;260862
000-06:15;3612147;260885
000-06:30;3612164;260902
000-06:45;3612179;260917
000-07:00;3612195;260933
000-07:15;3612224;260962
000-07:30;3612259;260997
000-07:45;3612294;261032
000-08:00;3612315;261053
000-08:15;3612331;261069
000-08:30;3612346;261084
000-08:45;3612362;261100
000-09:00;3612395;261133
000-09:15;3612431;261169
000-09:30;3612467;261205
000-09:45;3612486;261224
000-10:00;3612506;261244
000-10:15;3612668;261406
000-10:30;3612760;261498
000-10:45;3613363;262101
000-11:00;3614036;262774
000-11:15;3614599;263337
000-11:30;3614685;263423
000-11:45;3614809;263547
000-12:00;3614868;263606
000-12:15;3614930;263668
000-12:30;3615029;263767
000-12:45;3615126;263864
000-13:00;3615208;263946
000-13:15;3615297;264035
000-13:30;3615393;264131
000-13:45;3615481;264219
000-14:00;3615564;264302
000-14:15;3615640;264378
000-14:30;3615881;264619
000-14:45;3616033;264771
000-15:00;3616133;264871
000-15:15;3616204;264942
000-15:30;3616248;264986
000-15:45;3616301;265039
000-16:00;3616358;265096
000-16:15;3616406;265144
000-16:30;3616441;265179
000-16:45;3616483;265221
000-17:00;3616522;265260
000-17:15;3616584;265322
000-17:30;3616682;265420
000-17:45;3617031;265769
000-18:00;3617302;266040
000-18:15;3617389;266127
000-18:30;3617473;266211
000-18:45;3617558;266296
000-19:00;3617669;266407
000-19:15;3617779;266517
000-19:30;3617881;266619
000-19:45;3617964;266702
000-20:00;3618049;266787
000-20:15;3618137;266875
000-20:30;3618229;266967
000-20:45;3618377;267115
000-21:00;3618489;267227
000-21:15;3618579;267317
000-21:30;3618669;267407
000-21:45;3618749;267487
000-22:00;3618832;267570
000-22:15;3618936;267674
000-22:30;3619040;267778
000-22:45;3619146;267884
000-23:00;3619273;268011
000-23:15;3619358;268096
000-23:30;3619445;268183
000-23:45;3619534;268272
001-00:00;3619678;268416
