Date;Code;Flags;13.0.0.1.1.1.12.0.0.0.0.1.0.0.0.0.72.0;13.0.0.1.1.1.12.0.0.0.0.2.0.0.0.0.72.0;13.0.0.1.19.1.12.0.0.0.0.1.0.0.0.0.72.0;13.0.0.1.19.1.12.0.0.0.0.2.0.0.0.0.72.0;
000-00:00;0;;2295000;1315000;82000;177000;end
031-00:00;0;;2396544;1415687;183072;278727;end
062-00:00;0;;2493108;1511505;280219;378199;end
090-00:00;0;;2590052;1607939;377458;476570;end
121-00:00;0;;2676587;1693612;465608;565976;end
151-00:00;0;;2761495;1778210;550977;653853;end
182-00:00;0;;2841968;1858440;633289;737763;end
212-00:00;0;;2914021;1930405;707478;813003;end
243-00:00;0;;2992553;2008120;787069;893811;end
274-00:00;0;;3070259;2085597;864566;972893;end
304-00:00;0;;3142141;2157434;939317;1049477;end
335-00:00;0;;3242074;2257246;1041956;1153301;end
365-00:00;0;;3358715;2373751;1160290;1273712;end
396-00:00;0;;3419818;2434316;1223768;1338334;end
