Date;Code;Flags;0.0.0.1.1.1.12.0.0.0.0.0.0.0.0.0.72.0;0.0.0.1.19.1.12.0.0.0.0.0.0.0.0.0.72.0;0.0.0.1.1.1.12.0.0.0.0.1.0.0.0.0.72.0;0.0.0.1.1.1.12.0.0.0.0.2.0.0.0.0.72.0;0.0.0.1.19.1.12.0.0.0.0.1.0.0.0.0.72.0;0.0.0.1.19.1.12.0.0.0.0.2.0.0.0.0.72.0;
000-05:33;0;;3611583;260321;2295000;82000;1315000;177000;end
001-03:58;0;;3619684;268422;2303101;90101;1323166;185223;end
002-01:59;0;;3621933;270671;2305350;92350;1325744;188023;end
003-02:59;0;;3624195;272933;2307612;94612;1328383;190668;end
004-03:07;0;;3629394;278132;2312811;99811;1333854;196386;end
005-03:51;0;;3636553;285291;2319970;106970;1341067;203736;end
006-03:51;0;;3638783;287521;2322200;109200;1343345;206017;end
007-02:58;0;;3639870;288608;2323287;110287;1344726;207685;end
008-01:48;0;;3643219;291957;2326636;113636;1348367;211548;end
009-02:55;0;;3644328;293066;2327745;114745;1349665;212950;end
010-01:56;0;;3646608;295346;2330025;117025;1352171;215708;end
011-05:56;0;;3652721;301459;2336138;123138;1358531;222278;end
012-03:13;0;;3661103;309841;2344520;131520;1367262;231085;end
013-00:28;0;;3663155;311893;2346572;133572;1369694;233733;end
014-05:31;0;;3665242;313980;2348659;135659;1371987;236184;end
015-02:25;0;;3667269;316007;2350686;137686;1374367;238636;end
016-03:46;0;;3668340;317078;2351757;138757;1375674;240010;end
017-05:23;0;;3670726;319464;2354143;141143;1378367;242931;end
018-03:50;0;;3680796;329534;2364213;151213;1388518;253455;end
019-05:00;0;;3685162;333900;2368579;155579;1393249;258328;end
020-04:08;0;;3686259;334997;2369676;156676;1394491;259910;end
021-04:48;0;;3689591;338329;2373008;160008;1397895;263377;end
022-00:46;0;;3690809;339547;2374226;161226;1399166;264667;end
023-01:24;0;;3693140;341878;2376557;163557;1401862;267685;end
024-01:54;0;;3695297;344035;2378714;165714;1404272;270250;end
025-02:03;0;;3699396;348134;2382813;169813;1408379;274757;end
026-02:04;0;;3706525;355263;2389942;176942;1415827;282556;end
027-05:51;0;;3707753;356491;2391170;178170;1417160;284058;end
028-03:42;0;;3711143;359881;2394560;181560;1420805;287922;end
029-03:32;0;;3713203;361941;2396620;183620;1422918;290384;end
030-05:09;0;;3714387;363125;2397804;184804;1424298;292109;end
031-05:46;0;;3716552;365290;2399969;186969;1426723;294788;end
032-04:54;0;;3721759;370497;2405176;192176;1432178;300596;end
033-01:40;0;;3729838;378576;2413255;200255;1440565;308984;end
034-01:47;0;;3731845;380583;2415262;202262;1442582;311342;end
035-02:32;0;;3732871;381609;2416288;203288;1443653;312730;end
036-01:09;0;;3736089;384827;2419506;206506;1447071;316404;end
037-00:19;0;;3738113;386851;2421530;208530;1449346;318818;end
038-01:11;0;;3740139;388877;2423556;210556;1451715;321252;end
039-00:38;0;;3745209;393947;2428626;215626;1456849;326633;end
040-01:17;0;;3752514;401252;2435931;222931;1464452;334472;end
041-04:55;0;;3755895;404633;2439312;226312;1467911;338174;end
042-04:10;0;;3756925;405663;2440342;227342;1468972;339356;end
043-05:30;0;;3759111;407849;2442528;229528;1471375;342096;end
044-05:20;0;;3760127;408865;2443544;230544;1472518;343612;end
045-01:31;0;;3763270;412008;2446687;233687;1475779;347077;end
046-04:39;0;;3772314;421052;2455731;242731;1484859;356170;end
047-05:39;0;;3781676;430414;2465093;252093;1494336;365920;end
048-01:49;0;;3784801;433539;2468218;255218;1497855;369719;end
049-00:47;0;;3785881;434619;2469298;256298;1499040;371063;end
050-02:25;0;;3787983;436721;2471400;258400;1501203;373322;end
051-03:52;0;;3790087;438825;2473504;260504;1503484;375696;end
052-03:10;0;;3791269;440007;2474686;261686;1504879;377483;end
053-05:08;0;;3796330;445068;2479747;266747;1510014;382912;end
054-02:39;0;;3804511;453249;2487928;274928;1518500;391738;end
055-00:38;0;;3806857;455595;2490274;277274;1521000;394463;end
056-04:41;0;;3808080;456818;2491497;278497;1522228;396084;end
057-03:14;0;;3810171;458909;2493588;280588;1524425;398366;end
058-05:17;0;;3812372;461110;2495789;282789;1526943;401089;end
059-01:24;0;;3814469;463207;2497886;284886;1529369;403911;end
060-00:24;0;;3819711;468449;2503128;290128;1534923;409476;end
061-01:35;0;;3827905;476643;2511322;298322;1543387;418018;end
062-01:37;0;;3829201;477939;2512618;299618;1544818;419707;end
063-01:18;0;;3830467;479205;2513884;300884;1546466;421558;end
064-04:11;0;;3833788;482526;2517205;304205;1550121;425427;end
065-04:43;0;;3835866;484604;2519283;306283;1552595;427991;end
066-04:05;0;;3836980;485718;2520397;307397;1553722;429193;end
067-02:52;0;;3842375;491113;2525792;312792;1559323;434938;end
068-04:18;0;;3849765;498503;2533182;320182;1566918;442667;end
069-05:39;0;;3853098;501836;2536515;323515;1570644;446698;end
070-00:57;0;;3854143;502881;2537560;324560;1572038;448398;end
071-03:21;0;;3856224;504962;2539641;326641;1574471;451052;end
072-03:58;0;;3857317;506055;2540734;327734;1575829;452603;end
073-03:04;0;;3859317;508055;2542734;329734;1578223;455097;end
074-02:35;0;;3864386;513124;2547803;334803;1583495;460645;end
075-00:15;0;;3871604;520342;2555021;342021;1590913;468269;end
076-05:43;0;;3873811;522549;2557228;344228;1593439;470909;end
077-02:47;0;;3874886;523624;2558303;345303;1594765;472454;end
078-04:08;0;;3875977;524715;2559394;346394;1596144;474026;end
079-04:51;0;;3878109;526847;2561526;348526;1598491;476457;end
080-00:00;0;;3881290;530028;2564707;351707;1601853;480078;end
081-01:48;0;;3885474;534212;2568891;355891;1606075;484611;end
082-04:42;0;;3892576;541314;2575993;362993;1613304;491859;end
083-04:11;0;;3893723;542461;2577140;364140;1614551;493490;end
084-01:23;0;;3894900;543638;2578317;365317;1615934;495097;end
085-00:01;0;;3897210;545948;2580627;367627;1618501;498006;end
086-04:45;0;;3900586;549324;2584003;371003;1622066;501739;end
087-00:06;0;;3902964;551702;2586381;373381;1624578;504569;end
088-01:12;0;;3907071;555809;2590488;377488;1628772;508967;end
089-02:01;0;;3913222;561960;2596639;383639;1635159;515665;end
090-01:52;0;;3915233;563971;2598650;385650;1637226;517771;end
091-00:40;0;;3917418;566156;2600835;387835;1639691;520294;end
092-01:39;0;;3919583;568321;2603000;390000;1642154;522982;end
093-03:39;0;;3920810;569548;2604227;391227;1643583;524798;end
094-02:51;0;;3923119;571857;2606536;393536;1646070;527325;end
095-02:48;0;;3927315;576053;2610732;397732;1650591;531908;end
096-01:55;0;;3934539;583277;2617956;404956;1657914;539333;end
097-03:42;0;;3937648;586386;2621065;408065;1661388;542997;end
098-02:32;0;;3938729;587467;2622146;409146;1662785;544410;end
099-00:38;0;;3940817;589555;2624234;411234;1664945;546783;end
100-00:44;0;;3942201;590939;2625618;412618;1666354;548368;end
101-04:09;0;;3944539;593277;2627956;414956;1668835;551182;end
102-00:52;0;;3948711;597449;2632128;419128;1673330;555962;end
103-00:27;0;;3953801;602539;2637218;424218;1678762;561534;end
104-03:34;0;;3956084;604822;2639501;426501;1681066;564025;end
105-05:06;0;;3957180;605918;2640597;427597;1682553;565611;end
106-04:12;0;;3960420;609158;2643837;430837;1685868;569170;end
