CBP;DOMAIN;device;Device;Ger?;;;;
CBP;DOMAIN;deviceState;Device status;Ger?status;x;x;;;
CBP;DOMAIN;deviceStates;Device statuses;Ger?status;x;x;;;
CBP;DOMAIN;deviceLifecycle;Device life cycle;Arbeitszyklus des Ger?;;;;;
CBP;DOMAIN;;Device statuses;Ger?status;x;x;;;
CBP;;;Device statuses;Ger?status;x;x;;;
CCR;REST;Debug;Debug;Fehlerbehebung;;;;;
CCR;REST;Error;Error;Fehler;;;;;
CCR;REST;Trace;Trace;Trace;;;;;
CCR;REST;Warning;Warning;Warnung;;;;;
CCR;REST;TYPE_TCP;TCP;TCP;;;;;
CCR;REST;TYPE_UDP;UDP;UDP;;;;;
CCR;REST;Information;Information;Information;;;;;
CCR;REST;TYPE_SERIAL;SERIAL;SERIELL;;;;;
CCR;REST;TYPE_SERVLET;SERVLET;SERVLET;;;;;
CCR;REST;parities_odd;Odd Parity;Ungerade Parit?;;;;
CCR;REST;FieldRequired;This field is required;Dieses Feld ist erforderlich.;;;;;
CCR;REST;parities_even;Even Parity;Gerade Parit?;;;;
CCR;REST;parities_mark;Mark Parity;Mark-Parit?;;;;
CCR;REST;parities_none;No Parity;Keine Parit?;;;;
CCR;REST;parities_space;Space Parity;Space-Parit?;;;;
CCR;REST;comport.inbound;Inbound;Inbound;;;;;
CCR;REST;comport.outbound;Outbound;Outbound;;;;;
CCR;REST;comserver.online;Online;Online;;;;;
CCR;REST;comserver.remote;Remote;Remote;;;;;
CCR;REST;flowcontrol_none;No flow control;Keine Ablaufsteuerung;;;;;
CCR;REST;comserver.offline;Offline;Offline;;;;;
CCR;REST;flowcontrol_dtr_dsr;DTR/DSR;DTR/DSR;;;;;
CCR;REST;flowcontrol_rts_cts;RTS/CTS;RTS/CTS;;;;;
CCR;REST;flowcontrol_xon_xoff;XON/XOFF;XON/XOFF;;;;;
CCR;REST;EditPoolConcurrentTitle;Failed to save ''{0}'';Speichern von ''{0}'' fehlgeschlagen.;;;;;
CCR;REST;EditPoolConcurrentMessage;{0} has changed since the page was last updated.;{0} hat sich seit der letzten Aktualisierung der Seite ge?ert.;;;;;
CCR;REST;ChangeStatusConcurrentTitle;Failed to change status of ''{0}'';Status?erung von ''{0}'' fehlgeschlagen.;;;;;
CCR;REST;ChangeStatusConcurrentMessage;{0} has changed since the page was last updated.;{0} hat sich seit der letzten Aktualisierung der Seite ge?ert.;;;;;
CCR;REST;;{0} has changed since the page was last updated.;{0} hat sich seit der letzten Aktualisierung der Seite ge?ert.;;;;;
CCR;;;{0} has changed since the page was last updated.;{0} hat sich seit der letzten Aktualisierung der Seite ge?ert.;;;;;
CES;DOMAIN;duplicateFound;A duplicate ''{0}'' was found when a unique result was expected for ''{1}'';Es wurde ein Duplikat '{0}' gefunden, jedoch wurde ein eindeutiges Ergebnis f?{1}' erwartet;;;;;
CES;DOMAIN;illegalCommand;The command {0} isn''t allowed for {1};Der Befehl {0} ist nicht zul?ig f?1}.;x;;;;
CES;DOMAIN;macCheckFailure;Failed to execute command due to message authentication check failure.;Fehler beim Ausf?n des Befehls aufgrund eines Fehlers bei der Authentifizierungspr?g der Meldung.;;;;;
CES;DOMAIN;commandNotUnique;There is already a {0} command in the current Root;Es gibt bereits einen {0} Befehl in der aktuellen Root.;;;;;
CES;DOMAIN;validationFailed;Validation for attribute {1} of class {0} has previously failed and is now causing the following exception;Die Validierung f?ttribut {1} der Klasse {0} ist zuvor fehlgeschlagen und verursacht jetzt die folgende Ausnahme;;;;;
CES;DOMAIN;comTaskNotEnabled;The communication task ''{0}'' isn''t enabled for execution on devices of configuration ''{1}'';Die Kommunikationstask ''{0}'' ist f?ie Ausf?ng der Konfiguration ''{1}'' an den Ger?n nicht aktiviert.;x;;;;
CES;DOMAIN;connectionFailure;Failure to connect to device;Es konnte keine Verbindung zum Ger?hergestellt werden.;;;;;
CES;DOMAIN;mbeanObjectFormat;MalformedObjectNameException for ComServer {0};Fehlerhafte Objektname-Ausnahme f?omServer {0}.;;;;;
CES;DOMAIN;modemConnectError;Failed to establish a connection between modem on COM port {0} and its receiver within timeout [{1} ms];Die Herstellung einer Verbindung zwischen dem Modem am COM-Port {0} und seinem Empf?er ist innerhalb der Zeitgrenze [{1} ms] fehlgeschlagen.;;;;;
CES;DOMAIN;logOnCommandFailed;Couldn''t log on the device;Die Anmeldung am Ger?konnte nicht erfolgen.;x;;;;
CES;DOMAIN;unexpectedSqlError;Unexpected SQL exception\: {0};Unerwartete SQL-Ausnahme\: {0}.;;;;;
CES;DOMAIN;DDC.device.required;Can''t create cache without reference to a device;Ohne Bezug auf ein Ger?kann kein Cache angelegt werden.;x;;;;
CES;DOMAIN;maxTimeDiffExceeded;Time difference of the device exceeds the configured maximum of {0}: The difference between the clock of the device and the clock of the communication server is {1};Die zeitliche Abweichung ?schreitet den konfigurierten H?twert: Der Zeitunterschied ({0}) ist h? als die konfigurierte zul?ige Obergrenze ({1}).;;;;;
CES;DOMAIN;noResourcesAcquired;Client code ignored previous failure to allocate device command execution resources;Der Client hat den vorangehenden Fehler bei der Zuweisung der Ger?-Befehlsausf?ngs-Ressourcen ignoriert.;;;;;
CES;DOMAIN;communicationFailure;Communication with device failed;Kommunikation mit dem Ger?fehlgeschlagen.;;;;;
CES;DOMAIN;messageNoLongerValid;The message is no longer valid (see message below):;Diese Nachricht ist nicht mehr g?g (siehe nachfolgende Nachricht):;;;;;
CES;DOMAIN;serialNumberMismatch;"Serial number mismatch; meter has {0}, while {1} is configured in the system";"""Seriennummer-Inkongruenz";;;;;
CES;DOMAIN;unknownclocktasktype;Clock action can''t be performed due to an unknown type({0}) of the Clock action;Die Uhr-Aktion kann aufgrund eines unbekannten Typs ({0}) der Uhr-Aktion nicht ausgef? werden.;x;;;;
CES;DOMAIN;channel.unit.mismatch;Channel unit mismatch: load profile in the meter with OBIS code ''{0}'' has a channel ({1}) with the unit ''{2}'', whilst the configured unit for that channel is ''{3}'';Kanaleinheits-Inkongruenz: Das Lastprofil am Z?er mit der OBIS-Kennzahl ''{0}'' verf?? einen Kanal ({1}) mit der Einheit ''{2}'', die f?iesen Kanal konfigurierte Einheit ist jedoch ''{3}''.;;;;;
CES;DOMAIN;comTaskSessionMissing;Expected session for ComTask {0} wasn''t found in ComSessionShadow;Die erwartete Sitzung f?ie ComTask {0} wurde im COM-Sitzungs-Shadow nicht gefunden.;x;;;;
CES;DOMAIN;compositeTypeCreation;CompositeType creation failed for class {0};Composite-Typerstellung f?ie Klasse {0} fehlgeschlagen.;;;;;
CES;DOMAIN;unexpectedIOException;Exception occurred while communication with a device;Bei der Kommunikation mit einem Ger?ist eine Ausnahme aufgetreten.;;;;;
CES;DOMAIN;unrecognizedEnumValue;No value found for ordinal {1} of enumeration class {0};F?ie Ordinale {1} der Nummerierungsklasse {0} wurde kein Wert gefunden.;;;;;
CES;DOMAIN;incorrectNbrOfComTasks;Incorrect number of PreparedComTaskExecutions. Expected {0} but got {1};Fehlerhafte Anzahl an VorbereitetenComTaskAusf?ngen. {0} erwartet, jedoch {1} erhalten;;;;;
CES;DOMAIN;serialsAddedToTopology;The following devices are added to the topology: {0};Die folgenden Ger? wurden zur Topologie hinzugef? {0}.;;;;;
CES;DOMAIN;calendarNoLongerAllowed;The calendar(s) ''{0}'' is or are no longer allowed by device type ''{1}'';Der/die Kalender ''{0}'' ist/sind nicht mehr zul?ig f?er?typ ''{1}'';;;;;
CES;DOMAIN;intervalsMarkedAsBadTime;Load profile intervals will be marked as bad time: The time difference ({0}) exceeds the configured allowed maximum ({1});Die Lastprofilintervalle werden als Zeitfehler gekennzeichnet: Der Zeitunterschied ({0}) ?schreitet den konfigurierten zul?igen H?twert ({1}).;;;;;
CES;DOMAIN;loadProfile.notSupported;Loadprofile ''{0}'' isn''t supported by the device;Das Lastprofil ''{0}'' wird vom Ger?nicht unterst?.;x;;;;
CES;DOMAIN;loadProfileXnotsupported;Load profile with OBIS code ''{0}'' isn''t supported by the device;Das Lastprofil mit der OBIS-Kennzahl '{0}' wird vom Ger?nicht unterst?.;x;;;;
CES;DOMAIN;propertyValidationFailed;The validation of property ''{0}'' with value ''{1}'' failed;Validierung der Eigenschaft ''{0}'' mit dem Wert ''{1}'' fehlgeschlagen;;;;;
CES;DOMAIN;notExecutedDueToInitError;Communication task will be rescheduled due to an initialization error;Die ?ertragungsaufgabe wird aufgrund eines Initialisierungsfehlers neu geplant.;;;;;
CES;DOMAIN;deviceIdentifier.not.found;Couldn''t find a device for identifier ''{0}'';Es konnte kein Ger?unter der Kennung ?0}?gefunden werden.;x;;;;
CES;DOMAIN;methodArgumentCannotBeNull;A null value for the argument {2} of method {1} of class {0} is NOT supported;Ein Nullwert f?as Argument {2} der Methode {1} der Klasse {0} wird nicht unterst?.;;;;;
CES;DOMAIN;noLoadProfileDataCollected;No new loadprofile data was collected for {0} since {1};Es wurden seit {1} keine neuen Lastprofil-Daten f?0} erfasst;;;;;
CES;DOMAIN;serialsRemovedFromTopology;The following devices are removed from the topology: {0};Die folgenden Ger? wurden von der Topologie entfernt: {0}.;;;;;
CES;DOMAIN;DDC.device.firmware.unknown;Unknown firmware version transition...;Unbekannter Firmware-Version-?ergang...;;;;;
CES;DOMAIN;deviceprotocol.legacy.issue;An error occurred during the execution of a legacy protocol, see following stacktrace: {0};Bei der Ausf?ng eines fr?en Protokolls ist ein Fehler aufgetreten, siehe folgende Stacktrace: {0}.;;;;;
CES;DOMAIN;somethingUnexpectedHappened;Some unexpected error occurred;Es ist ein unerwarteter Fehler aufgetreten.;;;;;
