CBP;DOMAIN;device;Device;Gerät;;;;;
CBP;DOMAIN;deviceState;Device status;Gerätestatus;x;x;;;
CBP;DOMAIN;deviceStates;Device statuses;Gerätestatus;x;x;;;
CBP;DOMAIN;deviceLifecycle;Device life cycle;Arbeitszyklus des Geräts;;;;;
CBP;DOMAIN;;Device statuses;Gerätestatus;x;x;;;
CBP;;;Device statuses;Gerätestatus;x;x;;;
CCR;REST;Debug;Debug;Fehlerbehebung;;;;;
CCR;REST;Error;Error;Fehler;;;;;
CCR;REST;Trace;Trace;Trace;;;;;
CCR;REST;Warning;Warning;Warnung;;;;;
CCR;REST;TYPE_TCP;TCP;TCP;;;;;
CCR;REST;TYPE_UDP;UDP;UDP;;;;;
CCR;REST;Information;Information;Information;;;;;
CCR;REST;TYPE_SERIAL;SERIAL;SERIELL;;;;;
CCR;REST;TYPE_SERVLET;SERVLET;SERVLET;;;;;
CCR;REST;parities_odd;Odd Parity;Ungerade Parität;;;;;
CCR;REST;FieldRequired;This field is required;Dieses Feld ist erforderlich.;;;;;
CCR;REST;parities_even;Even Parity;Gerade Parität;;;;;
CCR;REST;parities_mark;Mark Parity;Mark-Parität;;;;;
CCR;REST;parities_none;No Parity;Keine Parität;;;;;
CCR;REST;parities_space;Space Parity;Space-Parität;;;;;
CCR;REST;comport.inbound;Inbound;Inbound;;;;;
CCR;REST;comport.outbound;Outbound;Outbound;;;;;
CCR;REST;comserver.online;Online;Online;;;;;
CCR;REST;comserver.remote;Remote;Remote;;;;;
CCR;REST;flowcontrol_none;No flow control;Keine Ablaufsteuerung;;;;;
CCR;REST;comserver.offline;Offline;Offline;;;;;
CCR;REST;flowcontrol_dtr_dsr;DTR/DSR;DTR/DSR;;;;;
CCR;REST;flowcontrol_rts_cts;RTS/CTS;RTS/CTS;;;;;
CCR;REST;flowcontrol_xon_xoff;XON/XOFF;XON/XOFF;;;;;
CCR;REST;EditPoolConcurrentTitle;Failed to save ''{0}'';Speichern von ''{0}'' fehlgeschlagen.;;;;;
CCR;REST;EditPoolConcurrentMessage;{0} has changed since the page was last updated.;{0} hat sich seit der letzten Aktualisierung der Seite geändert.;;;;;
CCR;REST;ChangeStatusConcurrentTitle;Failed to change status of ''{0}'';Statusänderung von ''{0}'' fehlgeschlagen.;;;;;
CCR;REST;ChangeStatusConcurrentMessage;{0} has changed since the page was last updated.;{0} hat sich seit der letzten Aktualisierung der Seite geändert.;;;;;
CCR;REST;;{0} has changed since the page was last updated.;{0} hat sich seit der letzten Aktualisierung der Seite geändert.;;;;;
CCR;;;{0} has changed since the page was last updated.;{0} hat sich seit der letzten Aktualisierung der Seite geändert.;;;;;
CES;DOMAIN;duplicateFound;A duplicate ''{0}'' was found when a unique result was expected for ''{1}'';Es wurde ein Duplikat '{0}' gefunden, jedoch wurde ein eindeutiges Ergebnis für '{1}' erwartet;;;;;
CES;DOMAIN;illegalCommand;The command {0} isn''t allowed for {1};Der Befehl {0} ist nicht zulässig für {1}.;x;;;;
CES;DOMAIN;macCheckFailure;Failed to execute command due to message authentication check failure.;Fehler beim Ausführen des Befehls aufgrund eines Fehlers bei der Authentifizierungsprüfung der Meldung.;;;;;
CES;DOMAIN;commandNotUnique;There is already a {0} command in the current Root;Es gibt bereits einen {0} Befehl in der aktuellen Root.;;;;;
CES;DOMAIN;validationFailed;Validation for attribute {1} of class {0} has previously failed and is now causing the following exception;Die Validierung für Attribut {1} der Klasse {0} ist zuvor fehlgeschlagen und verursacht jetzt die folgende Ausnahme;;;;;
CES;DOMAIN;comTaskNotEnabled;The communication task ''{0}'' isn''t enabled for execution on devices of configuration ''{1}'';Die Kommunikationstask ''{0}'' ist für die Ausführung der Konfiguration ''{1}'' an den Geräten nicht aktiviert.;x;;;;
CES;DOMAIN;connectionFailure;Failure to connect to device;Es konnte keine Verbindung zum Gerät hergestellt werden.;;;;;
CES;DOMAIN;mbeanObjectFormat;MalformedObjectNameException for ComServer {0};Fehlerhafte Objektname-Ausnahme für ComServer {0}.;;;;;
CES;DOMAIN;modemConnectError;Failed to establish a connection between modem on COM port {0} and its receiver within timeout [{1} ms];Die Herstellung einer Verbindung zwischen dem Modem am COM-Port {0} und seinem Empfänger ist innerhalb der Zeitgrenze [{1} ms] fehlgeschlagen.;;;;;
CES;DOMAIN;logOnCommandFailed;Couldn''t log on the device;Die Anmeldung am Gerät konnte nicht erfolgen.;x;;;;
CES;DOMAIN;unexpectedSqlError;Unexpected SQL exception\: {0};Unerwartete SQL-Ausnahme\: {0}.;;;;;
CES;DOMAIN;DDC.device.required;Can''t create cache without reference to a device;Ohne Bezug auf ein Gerät kann kein Cache angelegt werden.;x;;;;
CES;DOMAIN;maxTimeDiffExceeded;Time difference of the device exceeds the configured maximum of {0}: The difference between the clock of the device and the clock of the communication server is {1};Die zeitliche Abweichung überschreitet den konfigurierten Höchstwert: Der Zeitunterschied ({0}) ist höher als die konfigurierte zulässige Obergrenze ({1}).;;;;;
CES;DOMAIN;noResourcesAcquired;Client code ignored previous failure to allocate device command execution resources;Der Client hat den vorangehenden Fehler bei der Zuweisung der Geräte-Befehlsausführungs-Ressourcen ignoriert.;;;;;
CES;DOMAIN;communicationFailure;Communication with device failed;Kommunikation mit dem Gerät fehlgeschlagen.;;;;;
CES;DOMAIN;messageNoLongerValid;The message is no longer valid (see message below):;Diese Nachricht ist nicht mehr gültig (siehe nachfolgende Nachricht):;;;;;
CES;DOMAIN;serialNumberMismatch;"Serial number mismatch; meter has {0}, while {1} is configured in the system";"""Seriennummer-Inkongruenz";;;;;
